doc_id,news_title,sentiment,char_length,word_count,processed_text
1,"Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .",1,118,21,fiskars strong portfolio international brand include fiskars iittala gerber silva buster
2,"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",1,75,11,metal zinc surge glencore cut output fuel metal rally
3,"According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year .",-1,205,34,scanfil demand telecommunication network product fluctuate significantly quarter situation expect remain unstable rest
4,dbs launches new banking api developer platform; india holds greatest promise for fintech partnerships,1,102,14,db launch bank api developer platform india hold greatest promise fintech partnership
5,"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",1,159,27,theodosopoulos tellabs value nokia siemens nortel give lead supply status verizon along high growth product
6,1 November 2010 - Finnish textile and clothing company Marimekko Oyj ( HEL : MMO1V ) announced on Friday the opening of its first concept store in Seoul in cooperation with Japanese sector player Look Inc ( TYO : 8029 ) .,1,221,42,november finnish textile clothe marimekko oyj hel mmo announce friday open concept store seoul cooperation japanese sector player look inc tyo
7,"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",-1,168,29,part reorganisation measure take place spring tamglass finton start personnel negotiation affect entire staff
8,tenaga 's 3q net profit soars 192% on lower icpt costs,1,54,11,tenaga net profit soar lower icpt cost
9,toyota seeking to halve japan car models as domestic market shrinks,-1,67,11,toyota seek halve japan car model domestic market shrink
10,"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",-1,190,35,morgan expect scala lower nobel biocare growth forecast current guidance well operate margin target current
11,"According to A-Rehu 's Managing Director , Jouko Lahtinen , the project will stabilise costs and improve supply security .",1,122,20,rehu manage director jouko lahtinen project stabilise cost improve supply security
12,"tabung haji denies deficit claim, says able to return all deposits",1,66,11,tabung haji deny deficit claim able return deposit
13,UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,-1,70,11,barclays director accuse illegal tip plumber
