doc_id,news_title,sentiment,text_length,word_count,processed_text,predicted_sentiment,predicted_probability
1066,AstraZeneca share price: Company to carve out antibiotic R&D unit into separate ...,1,83,13,astrazeneca share price company carve out antibiotic rd unit into separate,-1,0.5927422702394467
3231,"bursa malaysia 's 1qfy16 results may fail to excite investors, says rhb research",1,80,13,bursa malaysia s qfy results fail excite investors says rhb research,-1,0.5951464694523783
2657,ag 's press meet disrupted by commotion caused by najib 's supporters,-1,69,12,ag s press meet disrupted commotion caused najib s supporters,1,0.6695706590696698
4080,"malaysia airports: alipay adoption a ' major step ' for retail, f&b transactions",1,80,13,malaysia airports alipay adoption major step retail fb transactions,-1,0.5355435852045136
83,myix announces lower port fee to support local isps and others,1,62,11,myix announces lower port fee support local isps others,-1,0.5139225738208448
1827,It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .,1,92,21,it also turned earnings per share eps eur versus loss per share eur,-1,0.582868747989145
3635,Copper market may get a 2003-style supply shock from Glencore closures,-1,70,11,copper market get style supply shock from glencore closures,1,0.5094735470637078
2685,"mixed corporate earnings to set the tone at bursa, klci to defend 1,850-level",1,77,13,mixed corporate earnings set tone bursa klci defend level,-1,0.6505704291979908
230,"immediate hurdle for ideal jacobs at 29.5 sen, says alliancedbs research",-1,72,11,immediate hurdle ideal jacobs sen says alliancedbs research,1,0.566430848700436
385,hwang capital 's 4q net profit falls 17.3% on lower contribution from all businesses,1,84,14,hwang capital s q net profit falls lower contribution from all businesses,-1,0.637198364612328
1099,"astro 's 3q profit hit by finance costs, pays 2.75 sen dividend",1,63,12,astro s q profit hit finance costs pays sen dividend,-1,0.650832035794464
3380,"sunway shares hit record high on bonus issue, plan to list healthcare unit",1,74,13,sunway shares hit record high bonus issue plan list healthcare unit,-1,0.5712948835532619
3686,"In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009 .",1,128,29,second quarter company s net profit eur m compared net loss eur m apriljune,-1,0.5346737359062887
42,opus goodwill impairment drags uem edgenta into the red in 2q,1,61,11,opus goodwill impairment drags uem edgenta into red q,-1,0.6576946712012282
1745,"malaysia faces up to rm500m penalty for dropping kl-spore hsr project, says dr mahathir",-1,87,14,malaysia faces up rmm penalty dropping klspore hsr project says dr mahathir,1,0.6450777494540381
913,"inno mind works not involved in focus malaysia acquisition, says director",1,73,11,inno mind works not involved focus malaysia acquisition says director,-1,0.6008727891687786
3958,BP Seeks to Get Back Some Gulf Oil Spill Business Payouts,1,57,11,bp seeks get back some gulf oil spill business payouts,-1,0.5276207898647748
2814,Shire share price under pressure after $32bn Baxalta deal,-1,57,9,shire share price under pressure after bn baxalta deal,1,0.5721433527193671
1361,Finnish silicon wafers manufacturer Okmetic Oyj said it swung to a net profit of 4.9 mln euro $ 6.3 mln in the first nine months of 2006 from a net loss of 1.8 mln euro $ 2.3 mln a year earlier .,1,195,42,finnish silicon wafers manufacturer okmetic oyj said it swung net profit mln euro mln first nine months from net loss mln euro mln year earlier,-1,0.5987159739347605
3922,"on trade war 's front line, car parts makers see orders dry up",-1,62,13,trade war s front line car parts makers see orders dry up,1,0.5330394067335834
321,600 workers were not fired to offset minimum wage hike - hartalega,1,66,12,workers not fired offset minimum wage hike hartalega,-1,0.5111333699526603
465,food empire posts 27% increase in 3q earnings to us$7.4 mil on lower expenses,1,77,14,food empire posts increase q earnings us mil lower expenses,-1,0.6115468303275293
767,hyundai to ship china-made cars to southeast asia amid erratic sales recovery,-1,77,12,hyundai ship chinamade cars southeast asia amid erratic sales recovery,1,0.541895035359975
